,"Fit time, s","Score time, s",R2,Model,MAE
0,148.57729649543762,0.4711909294128418,0.9661170906561086,MyBagging,29.127541282808508
1,125.31013631820679,0.05886983871459961,0.9474555967498217,MyBagging,34.06944263014189
2,125.20401191711426,0.05854678153991699,0.9473598311203107,MyBagging,29.29968818071296
3,129.59979343414307,0.125504732131958,0.9433906932354394,MyBagging,33.83227898109511
4,125.07239437103271,0.11414623260498047,0.6923947607676442,MyBagging,35.92536144327968
0,97.32568860054016,0.06380748748779297,0.9540755571425292,Bagging,29.677759808976163
1,106.4781801700592,0.23318266868591309,0.9498670755932725,Bagging,33.601984821525534
2,94.68848609924316,0.03513741493225098,0.9422463671700889,Bagging,29.931677882926024
3,104.66862058639526,0.24813294410705566,0.9485839923167386,Bagging,33.483107446659716
4,97.07850456237793,0.12410855293273926,0.6893357588045014,Bagging,36.284805042932064
0,161.69263577461243,0.06348609924316406,0.9540636200752166,RandomForest,29.534918540705803
1,163.66369485855103,0.06562662124633789,0.9468537106289737,RandomForest,33.94697830747422
2,158.7584583759308,0.03328752517700195,0.9422365735862294,RandomForest,29.905576926691595
3,167.30501198768616,0.09656286239624023,0.9479228235143983,RandomForest,34.77061114835287
4,153.70265674591064,0.013306140899658203,0.6873289245574941,RandomForest,38.213678726708224
